产品线名称,产品品类,型号,特点,应用场景,参数
热成像仪,手持式热成像仪,RX-300,RX-300热像仪拥有小于0.05℃的热灵敏度、-20℃至55℃的宽测温范围以及96x96的测温像素点，确保清晰精准的温度检测。它支持25Hz刷新率，提供流畅成像，并配备激光定位辅助、高低温点自动追踪、50°视场角免调焦设计、3.5G内置存储以及USB-Type C数据传输。机身坚固耐用，具备IP54防护等级，并支持11国语言，操作简便。,RX-300适用于广泛的温度检测需求。在工业领域，可用于建筑质量、材料缺陷、精密器件检测、产品开发及工艺检测、汽车检修和电机检测等。在设备维护方面，能够高效排查高压变电设备故障、进行暖通保温检测。其高灵敏度和精准度也使其在需要识别细微温度异常点的场景中表现出色。,"{
  ""视场角／最小聚焦距离"": ""50°x50/0.5m"",
  ""空间分辨率（IFOV）"": ""8.89mrad"",
  ""热灵敏度（NETD）"": ""<0.05℃@+30℃(+86°℉)/50mK"",
  ""图像帧频"": ""25Hz"",
  ""聚焦方式"": ""免对焦"",
  ""焦距"": ""1.35mm"",
  ""探测器类型／工作波长"": ""非致冷型微测辐射热计／7.5~14μm"",
  ""红外分辨率"": ""96x96 pixels"",
  ""LCD显示屏"": ""2.0英寸LCD,240x320 pixels"",
  ""图像模式"": ""红外光"",
  ""8种调色板"": [
    ""铁红"",
    ""彩虹"",
    ""白热"",
    ""黑热"",
    ""棕色"",
    ""蓝红"",
    ""热冷"",
    ""羽毛""
  ],
  ""测温量程"": {
    ""量程1"": ""-20℃～150℃（-4°℉～302°℉）"",
    ""量程2"": ""100℃～550℃（+212°℉～1022°℉）""
  },
  ""精度"": ""±2℃（±3.6°℉）或读数的±2%（环境温度10℃～35℃，物体温度＞0℃）"",
  ""点分析"": ""中心点"",
  ""高低温检测"": ""自动捕捉区域内的最高最低温"",
  ""测量校正"": [
    ""辐射率"",
    ""反射温度"",
    ""环境温度""
  ],
  ""视频存储介质"": ""3.5GB 内部 EMMC"",
  ""视频存储格式"": ""标准MPEG-4编码，640*480@30fps>60分钟"",
  ""视频存储模式"": ""红外图像"",
  ""图像存储格式"": ""存储红外图像和温度数据"",
  ""图像文件模式"": [
    ""单位"",
    ""语言"",
    ""日期"",
    ""时间"",
    ""信息""
  ],
  ""设置命令"": [
    ""中（简／繁）"",
    ""英"",
    ""日"",
    ""韩"",
    ""法"",
    ""德"",
    ""意大利"",
    ""荷兰"",
    ""西班牙"",
    ""土耳其"",
    ""葡萄牙""
  ],
  ""语言"": ""USB-Type C"",
  ""接口"": ""热像仪与PC之间传输数据"",
  ""USB"": ""热像仪与PC之间传输实时视频"",
  ""电池"": ""可充电锂电池，工作时间长达4小时以上"",
  ""输入电压"": ""直流5V"",
  ""充电系统"": ""在线充电"",
  ""电源管理"": ""自动关机"",
  ""工作环境温度"": ""-15℃~50℃(5°℉~122°℉)"",
  ""储存环境温度"": ""-40℃~70℃(-40°℉~158°℉)"",
  ""环境湿度（工作和储存）"": ""10%~90%"",
  ""防摔等级"": ""2m"",
  ""抗冲击性"": ""25g"",
  ""抗震动性"": ""2g"",
  ""重量"": ""<500g"",
  ""尺寸（长宽深）"": ""180mmx50mmx70mm""
}"
热成像仪,手持式热成像仪,RX-350,RX-350是一款手持式测温热像仪，具备红外与可见光融合、-20℃至550℃超宽温域精准测量、160x120红外分辨率和0.07℃热灵敏度。它支持多种调色板和发射率补偿，并提供最高温/最低温/中心点智能追踪，确保工业检测的精准高效。,RX-350广泛应用于工业检测，例如电力巡检（电缆接头过热预警，避免火灾）、电子制造（PCB元件虚焊检测，提升良品率）、建筑诊断（墙体渗漏精准定位，节省维修成本）和汽修检测（发动机过热溯源，快速排障）。,"  {
    ""显示屏"": ""2.8英寸TFT 显示屏"",
    ""红外热图像分辨率"": ""160x120"",
    ""可见光图像分辨率"": ""640x480"",
    ""LCD 分辨率"": ""320x240"",
    ""视场角/焦距"": ""50°x37.2°/3.2mm"",
    ""IFOV （空间分辨率）"": ""5.31mrad"",
    ""像元间距"": ""17um"",
    ""图像帧频"": ""25Hz"",
    ""调焦方式"": ""固定"",
    ""噪声等效温差"": [
      ""<40mK@25℃"",
      ""F/1.0""
    ],
    ""波长范围"": ""8μm~14μm"",
    ""发射率"": ""0.01~1.00可调"",
    ""调色板"": [
      ""彩虹"",
      ""铁红"",
      ""冷色"",
      ""白热"",
      ""黑热""
    ],
    ""温度测量范围"": ""-20℃~550℃(-4°F~1022°℉)"",
    ""测温精度"": [
      ""-15℃~550℃(±2℃/±2%)"",
      ""-20℃~15℃(±4℃)""
    ],
    ""设置控制"": [
      ""本地化单位调整"",
      ""语言"",
      ""日期时间格式"",
      ""自动关机""
    ],
    ""存储介质"": ""内置存储4G （实际可用3G ）"",
    ""语言"": [
      ""中文"",
      ""英文"",
      ""德语"",
      ""意大利语""
    ],
    ""图像格式"": ""JPG/MP4"",
    ""接口类型"": ""Type-C"",
    ""电池类型"": ""内置18650 充电锂电池"",
    ""工作温度"": ""-20℃-50℃"",
    ""存储温度"": ""-20℃~60℃"",
    ""相对湿度"": ""10%RH~80% RH"",
    ""电池容量"": ""2000mAh"",
    ""工作时间"": ""2~3小时"",
    ""产品尺寸"": ""96x72x226mm"",
    ""产品重量"": ""375g""
  }"
热成像仪,手持式热成像仪,RX-500,RX-500手持测温热像仪，集红外与可见光同步显示、-20℃至550℃超宽温域精准测量、五种调色板增强诊断、256x192红外分辨率及≤25Hz热像帧率于一体。它还具备发射率自定义校准、智能冷热点追踪、双模式数据存储，以及56°免调焦视场角，实现高效、精准、便捷的温度检测与故障排查。,RX-500广泛应用于电力巡检，可带电检测变压器过热和电缆接头虚接；在消防救援中，能穿透浓烟定位火源。此外，它还适用于工业质检，预警机械轴承摩擦过热；以及建筑节能领域，精准分析墙体热损和定位隔热缺陷。,"  {
    ""红外探测器类型"": ""氧化钒非制冷红外焦平面"",
    ""红外分辨率"": ""256x192"",
    ""红外响应波段"": ""8至14μm"",
    ""像元尺寸"": ""12um"",
    ""NETD"": [
      ""≤50mK@25C"",
      ""@F/1.1""
    ],
    ""镜头焦距"": ""4mm"",
    ""IFOV"": ""3.75mrad"",
    ""视场角"": ""56°x42°"",
    ""调焦方式"": ""免调焦"",
    ""测温范围"": ""-20°C至+550°C （-4°℉至1022°℉）"",
    ""测温精度"": [
      ""-15℃至550℃（±2℃或±2%)"",
      ""-20℃至-15℃（ ±4°C）""
    ],
    ""测温分辨率"": ""0.1°C"",
    ""测温模式"": [
      ""中心点"",
      ""冷热点追踪""
    ],
    ""调色板"": [
      ""彩虹"",
      ""铁红"",
      ""冷色"",
      ""白热"",
      ""黑热""
    ],
    ""发射率设置"": ""0.01 至1.00 可调"",
    ""热成像帧率"": ""≤25Hz"",
    ""可见光分辨率"": ""640x480"",
    ""显示屏尺寸"": ""3.2 英寸（240x320）"",
    ""图像显示模式"": [
      ""红外"",
      ""可见光"",
      ""双光融合""
    ],
    ""设备存储"": ""内置8G  eMMC"",
    ""存储图像／视频格式"": ""JPG/MP4"",
    ""图像／视频导出方式"": ""USB 连接电脑导出"",
    ""图片分析功能"": ""支持PC 端离线分析"",
    ""菜单语言"": [
      ""中文"",
      ""英文"",
      ""德语"",
      ""意大利语""
    ],
    ""电池类型"": ""专用拆卸式可充电锂电池"",
    ""电池容量"": ""2200mAh"",
    ""工作时间"": ""2 至3 小时"",
    ""电源接口"": ""Micro USB"",
    ""电源配置"": [
      ""5 分钟"",
      ""20 分钟"",
      ""不自动关机""
    ],
    ""工作温度"": ""-10°C至+50°C"",
    ""存储温度"": ""-20°C至+60°C"",
    ""相对湿度"": ""10％至85%RH（非冷凝）"",
    ""产品重量"": ""389g"",
    ""产品尺寸"": ""90mmx105mmx223mm""
  }"
热成像仪,手持式热成像仪,RX-550,RX-550是一款高性价比工业级手持测温热像仪，具备256x192红外分辨率和**-20℃至550℃宽温域及±2℃高精度。它支持智能双光融合**、5种调色板、一键冷热点追踪，并可通过WIFI同步移动端远程操控。此外，它还拥有4G数据存储、PC端专业分析软件、3小时长效续航和IP54防护等级。,RX-550适用于多种工业检测场景，尤其适合需要精准温度测量和故障快速定位的场合。其宽温域和高精度使其成为工业设备维护、电力检测、建筑节能、HVAC检测等领域的理想选择。移动端WIFI同步和PC端专业分析功能也使其在远程监控和数据分析方面表现出色。,"{
    ""红外分辨率"": ""256x192"",
    ""视场角"": ""56°x42°"",
    ""红外探测器类型"": ""氧化钒非制冷红外焦平面"",
    ""NETD"": [
      ""≤50mK@25℃. @F/1.0""
    ],
    ""温度测量范围"": ""-20°C至550°C（-4°℉至1022°℉）"",
    ""红外响应波段"": ""8至14μm"",
    ""像元尺寸"": ""12um"",
    ""帧率"": ""≤25Hz"",
    ""镜头焦距"": ""3.2mm"",
    ""发射率"": ""0.01 至1.00 可调"",
    ""测量精度"": [
      ""-15°C至 550°C±2°C或±2%"",
      ""-20°C至-15°C±4°C""
    ],
    ""IFOV"": ""3.75mrad"",
    ""调焦方式"": ""免调焦"",
    ""测温模式"": [
      ""中心点"",
      ""冷热点追踪""
    ],
    ""调色板"": [
      ""彩虹"",
      ""铁红"",
      ""冷色"",
      ""白热"",
      ""黑热""
    ],
    ""显示屏幕尺寸"": ""2.8 英寸(240x320)"",
    ""图像显示模式"": [
      ""红外"",
      ""可见光"",
      ""双光融合""
    ],
    ""照明系统"": ""LED 补光灯"",
    ""设备存储"": ""内置4G  eMMC （用户可用存储空间约3G ）"",
    ""存储图像／视频格式"": ""JPG/MP4"",
    ""图像／视频导出方式"": ""USB 连接电脑导出"",
    ""图片分析功能"": ""支持PC 端离线分析"",
    ""菜单语言"": [
      ""中文"",
      ""英文"",
      ""德语"",
      ""意大利语""
    ],
    ""电池类型"": ""拆卸式可充电锂电池（18650 ）"",
    ""电池容量"": ""2000mAh"",
    ""工作时间"": ""2 至3 小时"",
    ""电源接口"": ""Type-C"",
    ""电源配置"": [
      ""5 分钟"",
      ""20 分钟"",
      ""不自动关机""
    ],
    ""工作温度"": ""0°C至45°C(32°F至113°℉）"",
    ""存储温度"": ""-20℃至+60℃（-4°℉至140°℉）"",
    ""相对湿度"": ""10％至85%RH（非冷凝）"",
    ""产品重量"": ""375g"",
    ""产品尺寸"": ""96mmx72mmx226mm""
  }"
热成像仪,手持式热成像仪,RX-680,RX-680 手持测温热像仪拥有 ＜40mK 的热灵敏度，能清晰显示细微温度异常。其 -20℃～550℃ 的宽广测温范围和 ±2%或±2℃的测量精度确保了高精准度。设备配备 256x192 测温像素点，提供清晰红外图像，并支持7种调色板及红外+可见光智能双光融合。此外，它具备11小时超长待机、高低温点自动追踪、视频/图像存储和UVC投屏功能，以及IP54防护等级和2米防跌落设计，坚固耐用。,RX-680 适用于多种专业场景。在建筑质量、材料缺陷检测和精密器件检测中，它能看清细微温度异常点。其宽广的测温范围使其适用于建筑暖通、汽车检修。高测量精度拓宽了其在产品开发及工艺检测中的应用。此外，它也适用于电气检修、管道巡检等需要精准温度测量和故障排查的领域。设备的离线测温分析功能也满足了专业分析需求。,"  {
    ""探测器分辨率"": ""256x192"",
    ""红外帧频"": ""25Hz"",
    ""像元尺寸"": ""12μm"",
    ""热敏性／NETD"": ""<40mK"",
    ""镜头焦距"": ""3.2mm"",
    ""视场角"": ""56°x42°"",
    ""IFOV"": ""3.8mrad"",
    ""调焦模式"": ""定焦"",
    ""测温功能"": [
      ""中心点"",
      ""最高温"",
      ""最低温""
    ],
    ""测温范围"": [
      ""低温档：-20~150°C"",
      ""高温档： 100~550°C"",
      ""自动""
    ],
    ""测温精度"": ""±2°C或±2°C"",
    ""测温单位"": [
      ""摄氏度"",
      ""华氏度"",
      ""开尔文""
    ],
    ""发射率设置"": [
      ""0.01-1.0可调"",
      ""步长0.01""
    ],
    ""补光灯"": ""支持照明与闪光灯模式"",
    ""图像模式"": [
      ""红外"",
      ""双光融合"",
      ""可见光"",
      ""画中画""
    ],
    ""调色板"": [
      ""白热"",
      ""黑热"",
      ""熔岩"",
      ""铁红"",
      ""彩虹"",
      ""高对比彩虹"",
      ""黑红""
    ],
    ""电子变倍"": [
      ""2x"",
      ""4x""
    ],
    ""温度报警"": [
      ""整帧最高温"",
      ""最低温报警""
    ],
    ""报警方式"": [
      ""图像弹窗"",
      ""闪光灯提示""
    ],
    ""报警自动拍照"": ""支持（含温度数据）"",
    ""定时拍照"": ""支持（含温度数据）"",
    ""照片保存"": [
      ""自动"",
      ""手动""
    ],
    ""图片格式"": ""JPG 格式"",
    ""视频传输"": ""支持UVC 投屏（含温度数据）"",
    ""PC 端分析软件"": ""支持"",
    ""显示屏尺寸"": ""2.8 英寸LCD(320x240）"",
    ""存储卡"": [
      ""32GB MicroSD 卡"",
      ""支持内存可扩展128G""
    ],
    ""电池类型"": ""内置可充电锂电池"",
    ""电源接口"": ""USB 直充 Type-C"",
    ""充电时长"": ""关机4H"",
    ""工作时长"": ""11H"",
    ""电源管理"": [
      ""自动关机：5 分钟"",
      ""10 分钟"",
      ""20 分钟"",
      ""120 分钟"",
      ""关闭""
    ],
    ""三角架安装孔"": ""支持"",
    ""工作／存储温度／相对湿度"": [
      ""-10°C~+50°C"",
      ""-20°C~+60°C"",
      ""10%~95%，非冷凝""
    ],
    ""防护等级／跌落"": ""IP54 2m"",
    ""尺寸 (LxWxH）"": ""237mmx75mmx92mm"",
    ""重量"": ""520g"",
    ""装箱清单"": [
      ""USB 线"",
      ""32GBSD 卡"",
      ""说明文档"",
      ""收口袋"",
      ""合格证"",
      ""校准证""
    ]
  }"
热成像仪,手持式热成像仪,RX-700,RX-700手持测温热像仪，具备384×288高清红外成像分辨率和$-20度到550度宽量程。它拥有0.06度的微温灵敏度和25HZ动态刷新率，确保精准快速的温度测量。此外，支持WiFi智能互联、多种伪彩模式、发射率自定义调节以及高低温自动追踪等功能，提升了测量效率和数据分析能力。,RX-700广泛应用于多领域。在电力巡检中，它能检测变压器过热和电缆虚接。消防救援时，可穿透浓烟定位火源。工业质检方面，用于机械轴承摩擦过热预警。在建筑节能领域，则能进行墙体热损分析，精准定位隔热缺陷，是一款全面提升工程师工作效率的工具。,"  {
    ""显示屏"": ""3.5 英寸全视角TFT 显示屏"",
    ""红外热图像分辨率"": ""384x288"",
    ""LCD 分辨率"": ""640x480"",
    ""视场角／焦距"": ""28.4°x21.4°/13mm"",
    ""热灵敏度"": ""0.06℃"",
    ""热图像帧率"": ""25Hz"",
    ""调焦方式"": ""手动调焦"",
    ""波长范围"": ""8μm至14μm"",
    ""发射率"": ""0.01 至1.00 可调"",
    ""调色板"": [
      ""彩虹"",
      ""铁红"",
      ""冷色"",
      ""白热"",
      ""黑热""
    ],
    ""温度测量范围"": ""-20℃至550℃（-4°℉至1022°℉）"",
    ""测量精度"": ""±3%"",
    ""存储介质"": ""内置存储8G （实际可用6 . 6G ）"",
    ""图像格式"": ""JPG"",
    ""USB"": ""Micro USB 2.0"",
    ""电池"": [
      ""内置可充电"",
      ""26650 锂电池""
    ],
    ""工作时间"": ""3 至4 小时"",
    ""设置命令"": [
      ""单位"",
      ""语言"",
      ""日期"",
      ""时间"",
      ""信息""
    ],
    ""语言"": [
      ""中文"",
      ""英文"",
      ""德语"",
      ""意大利语""
    ],
    ""自动关机时间"": [
      ""可选择：5 分钟"",
      ""20 分钟"",
      ""不自动关机""
    ],
    ""重量"": ""635g"",
    ""尺寸"": ""256mmx 97.2mmx128.9mm"",
    ""工作温度"": ""0℃至45℃"",
    ""储存温度"": ""-20℃至60℃"",
    ""相对湿度"": [
      ""<85%RH""
    ]
  }"
热成像仪,手持式热成像仪,RX-780,RX-780手持测温热像仪，集成640x512红外热成像（12μm高精度）与500W像素可见光融合，测温范围-20℃至550℃，精度±2%，0.1℃分辨率，支持多种图像模式、25Hz高帧频。具备USB即插即分析、云服务、PC/App实时分析及激光指示器等功能。,RX-780广泛应用于电力巡检、电气检修、产品研发、房屋检测、设备维护、电子元件冷启动检测、工业窑炉高温监控及专业科研等领域，实现快速故障排查、设备运维分析和科学研究。,"{
  ""探测器类型"": ""氧化钒非制冷红外焦平面探测器"",
  ""探测器分辨率"": ""640x512"",
  ""红外响应波段"": ""8~14um"",
  ""像元尺寸"": ""12μm"",
  ""NETD"": ""35mK"",
  ""IFOV"": ""1.31mrad"",
  ""帧频"": ""30Hz"",
  ""焦距"": ""9.1mm"",
  ""视场角"": ""48°x38°"",
  ""调焦模式"": ""手动调焦"",
  ""测温范围"": ""-20°C~150°C; 100°C~550°C"",
  ""测温精度"": ""±2% 或±2°C"",
  ""测温分辨率"": ""0.1°C"",
  ""测温模式"": [
    ""中心点"",
    ""冷热点追踪及温度显示""
  ],
  ""点、线、区域测温"": [
    ""可移动点"",
    ""线"",
    ""区域测温；最多支持10 个点、10 个区域、10 条线""
  ],
  ""测温单位"": [
    ""摄氏度"",
    ""华氏度"",
    ""开尔文""
  ],
  ""发射率设置"": [
    ""0.01~1.00"",
    ""步长0.01""
  ],
  ""环境温度设置"": [
    ""-10°C~50°C"",
    ""步长 1°C""
  ],
  ""距离设置"": [
    ""1~20m"",
    ""步长1m""
  ],
  ""电子变倍"": [
    ""1x"",
    ""2x"",
    ""4x"",
    ""8x"",
    ""可见光"",
    ""红外支持变倍""
  ],
  ""图像模式"": [
    ""红外"",
    ""双光融合"",
    ""可见光"",
    ""画中画"",
    ""细节增强""
  ],
  ""伪彩"": ""10 种"",
  ""报警方式／温度报警"": [
    ""图像报警"",
    ""支持温度报警""
  ],
  ""色标温度范围"": [
    ""手动"",
    ""自动温度范围""
  ],
  ""可见光相机／激光指示器"": [
    ""500W 像素"",
    ""支持激光指示""
  ],
  ""视频照片存储"": [
    ""含温度数据的红外jpg 图像＋可见光jpg 图像"",
    ""不带数据的视频""
  ],
  ""语言／语音注释"": [
    ""简中＆英文"",
    ""支持语音注释""
  ],
  ""显示屏尺寸"": ""3 . 5 寸触摸屏（ 480x640）"",
  ""图像命名"": [
    ""自动"",
    ""手动输入命名，扫二维码命名""
  ],
  ""存储卡"": ""标配32GBMicro SD 卡 可扩容512GB"",
  ""电池类型"": [
    ""可充电锂电池"",
    ""可拆卸""
  ],
  ""电源接口"": ""USB TypeC"",
  ""连接方式"": [
    ""USB"",
    ""SD卡"",
    ""WiFi(AP模式或联网模式）""
  ],
  ""充电时长"": ""约3h"",
  ""工作时长"": ""约3h"",
  ""云端功能"": [
    ""可向云盘传输拍摄数据"",
    ""在多客户端共享和二次分析；支持时间自动同步。""
  ],
  ""电源管理"": [
    ""自动关机：5 分钟"",
    ""10 分钟"",
    ""20 分钟"",
    ""不自动关机""
  ],
  ""分析软件"": ""PC&APP"",
  ""三角架支座"": [
    ""有"",
    ""在把手底端""
  ],
  ""工作温度"": ""-10°C~50°C"",
  ""存储温度"": ""-20°C~60°C"",
  ""相对湿度"": [
    ""10%~95%"",
    ""非冷凝""
  ],
  ""防护等级／跌落"": ""IP54(IEC 60529) 2m"",
  ""冲击振动"": [
    ""冲击25g(IEC60068-2-27)"",
    ""振动2.5g(IEC60068-2-6）""
  ],
  ""尺寸（(高x 宽x 深)"": ""256.4mmx105.1mmx105.3mm"",
  ""重量"": ""约670g"",
  ""配件"": [
    ""5V3A 电源适配器"",
    ""USB 线"",
    ""SD 卡"",
    ""电池*2"",
    ""说明文档"",
    ""电池座充""
  ]
}
"
热成像仪,手机插入式热成像仪,RX-450,RX-450是一款手机便携式测温热像仪，具有256x192超清解析度和小于50mK的热灵敏度，成像清晰。它提供±2℃的工业级测温精度，支持-15℃至550℃的宽广测温范围，并拥有10种调色板和双显示模式。25Hz高帧率确保画面流畅，且采用USB-C直连供电，功耗低。,RX-450适用于多种场景，包括家庭自检、工业设备检修、电子生产和生物观测。其轻量化设计（15g）和即插即用特性，使其非常适合户外探险和快速部署。此外，它能在-10℃到75℃的工业级环境下稳定运行，适应严寒或高温条件。,"{
  ""探测器类型"": ""氧化钒非制冷焦平面"",
  ""分辨率"": ""256x192"",
  ""像元尺寸"": ""12μm"",
  ""焦距"": ""3.2mm"",
  ""视场角"": ""56°(H)x42°(V)"",
  ""空间分辨率"": ""3.75mrad"",
  ""工作波段"": ""8 至14μm"",
  ""NETD"": ""<50mk@25℃,F#1.0"",
  ""帧频"": ""≤25Hz"",
  ""调焦方式"": ""免调焦"",
  ""伪彩模式"": [
    ""白热"",
    ""黑热"",
    ""铁热"",
    ""铁红"",
    ""红热"",
    ""彩虹-1"",
    ""彩虹-2"",
    ""彩虹-3"",
    ""彩虹-4"",
    ""彩虹-5""
  ],
  ""测温模式"": [
    ""点"",
    ""线"",
    ""区域测温""
  ],
  ""测温范围"": [
    ""-15℃～150℃（5°℉～302°℉）"",
    ""150℃～550℃（302°℉～1022°℉）（不支持自动切换挡）""
  ],
  ""测温距离"": ""0.25m~5m"",
  ""测温精度"": ""（-15℃至-10℃）±3℃；(-10℃至550℃）±2℃或±2％"",
  ""拍照／录像"": ""支持"",
  ""图片／视频格式"": ""JPG/MP4"",
  ""语言"": [
    ""中文"",
    ""英语"",
    ""俄语""
  ],
  ""整机功耗"": ""≤0.35W"",
  ""外部接口"": ""USB Type-C,DC5V 供电"",
  ""工作温度"": ""-10℃至＋75℃"",
  ""存储温度"": ""-45℃至＋85℃"",
  ""产品尺寸"": ""45mmx36.7mmx11.5mm"",
  ""产品重量"": ""15g""
}"
热成像仪,PCB板维修热成像仪,RX-F450,RX-F450手持测温热像仪具有256x192高红外像素、$-20℃至600℃$超宽测温范围、56°x42°广视角和25Hz刷新率，确保成像清晰流畅。支持3D热场分布、多种调色板，并提供专业软件进行数据分析和图像编辑，部分型号便携可折叠。,该系列热像仪广泛应用于电子行业（PCB维修分析、芯片及电路板检测）、科研领域（热物理实验、材料分析）、工业生产（设备状态监控、流程优化）和安全监控（建筑、电力系统热异常检测）," {
    ""尺寸"": ""275mm x 200mm x 172mm"",
    ""分辨率"": ""256x192"",
    ""镜头视角"": ""56°x42°"",
    ""测温距离"": ""3mm~15mm"",
    ""输入电压"": ""DC 5V"",
    ""帧频"": ""25Hz"",
    ""设备接口"": ""USB Type C"",
    ""测温范围"": ""-20°C~600°C(-4°F~1112°F)"",
    ""工作温度"": ""0°C~50°C"",
    ""微距镜头（选配）"": ""30mm""
  }"
热成像仪,PCB板维修热成像仪,RX-F500,RX-F450手持测温热像仪具有256x192高红外像素、$-20℃至600℃$超宽测温范围、56°x42°广视角和25Hz刷新率，确保成像清晰流畅。支持3D热场分布、多种调色板，并提供专业软件进行数据分析和图像编辑，部分型号便携可折叠。,该系列热像仪广泛应用于电子行业（PCB维修分析、芯片及电路板检测）、科研领域（热物理实验、材料分析）、工业生产（设备状态监控、流程优化）和安全监控（建筑、电力系统热异常检测）,"  {
    ""尺寸"": ""285mm x 220mm x 172mm"",
    ""分辨率"": ""256x192"",
    ""镜头视角"": ""56°x42°"",
    ""测温距离"": ""30mm~150mm"",
    ""输入电压"": ""DC 5V"",
    ""帧频"": ""25Hz"",
    ""设备接口"": ""USB Type C"",
    ""测温范围"": ""-20°C~150°C(-4°F~302°F)"",
    ""工作温度"": ""0°C~50°C"",
    ""微距镜头（选配）"": ""30mm""
  }"
